series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.110(a),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.110(a)(3),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.165(e),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.166(a),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.170(b),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.180(e)(1),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.22(d),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.68(a),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.68(b),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.84(d)(2),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,cfr_part,211,part,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation,1,count,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Annual visual exams of drug products,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Calibration/Inspection/Checking not done,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Control procedures to monitor and validate performance,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Lack of written stability program,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Mixing adequacy,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,"Procedures not  in writing, fully followed",,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Reports of Analysis (Components),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Review of representative number of batches,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Test methods,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,citation_topic,Written record not kept of program and validation data,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,firm_key,CPC,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,is_gmp,1,bool,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000114979,2010-08-18,2026-09-08T14:29:40Z,label,CPC Laboratories Inc,,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000115683,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.100(a),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
fda.citations.history,firm:1000115683,2010-08-18,2026-09-08T14:29:40Z,cfr,21 CFR 211.113(b),,fda.citations.history,raw/fda.citations.history/2026/09/20260908T142940Z-955296c14fc7.json.gz,1
